time	V(n001)	V(n002)
2.205207022495926e-03	1.371968e+01	4.706115e+00
2.729797619212635e-03	1.706095e+01	4.724507e+00
3.385404961073745e-03	2.040443e+01	4.738465e+00
3.665215120325663e-03	2.146960e+01	4.742348e+00
3.951760708577410e-03	2.219486e+01	4.744770e+00
4.336642433925303e-03	2.280342e+01	4.746732e+00
4.545603080372437e-03	2.297089e+01	4.747265e+00
4.646961343490802e-03	2.299629e+01	4.747345e+00
4.707020153135327e-03	2.299683e+01	4.747347e+00
4.765275191912975e-03	2.299214e+01	4.747332e+00
4.791921452837076e-03	2.298910e+01	4.747323e+00
4.810269431783942e-03	2.298674e+01	4.747315e+00
4.829015843745635e-03	2.298422e+01	4.747307e+00
4.847364024219762e-03	2.298170e+01	4.747299e+00
4.865024884665994e-03	2.297925e+01	4.747292e+00
4.883744566303694e-03	2.297662e+01	4.747283e+00
4.901015491798380e-03	2.297418e+01	4.747276e+00
4.918216414098161e-03	2.297174e+01	4.747268e+00
4.935319428053860e-03	2.296931e+01	4.747260e+00
4.953046624900788e-03	2.296679e+01	4.747252e+00
4.972545290340401e-03	2.296401e+01	4.747243e+00
4.996511077333717e-03	2.296059e+01	4.747233e+00
5.025260611481760e-03	2.295650e+01	4.747220e+00
5.063189807159352e-03	2.295109e+01	4.747203e+00
5.115939100207592e-03	2.294357e+01	4.747179e+00
5.199970942303625e-03	2.293161e+01	4.747141e+00
5.362247158788271e-03	2.290853e+01	4.747068e+00
5.686799591757565e-03	2.286249e+01	4.746922e+00
6.335904457696153e-03	2.277077e+01	4.746631e+00
7.312466957696153e-03	2.263358e+01	4.746192e+00
9.265591957696152e-03	2.236214e+01	4.745317e+00
1.024215445769615e-02	2.222796e+01	4.744881e+00
1.121871695769615e-02	2.209477e+01	4.744445e+00
1.149336301139953e-02	2.206039e+01	4.744332e+00
1.161134684104525e-02	2.205247e+01	4.744306e+00
1.166327650005693e-02	2.205697e+01	4.744321e+00
1.171532315098619e-02	2.207282e+01	4.744373e+00
1.177254988313564e-02	2.210287e+01	4.744472e+00
1.182962472000327e-02	2.214655e+01	4.744615e+00
1.193337986484389e-02	2.225139e+01	4.744957e+00
1.210954368587558e-02	2.245964e+01	4.745632e+00
1.226255220927419e-02	2.264683e+01	4.746234e+00
1.242244096321344e-02	2.282221e+01	4.746794e+00
1.260952998633891e-02	2.297889e+01	4.747290e+00
1.277020623550591e-02	2.306454e+01	4.747560e+00
1.287611837656071e-02	2.309224e+01	4.747647e+00
1.293704717983180e-02	2.309655e+01	4.747661e+00
1.300047556736488e-02	2.309409e+01	4.747653e+00
1.306194085440838e-02	2.308829e+01	4.747635e+00
1.310556155878324e-02	2.308293e+01	4.747618e+00
1.313792456284770e-02	2.307854e+01	4.747604e+00
1.317058099588962e-02	2.307397e+01	4.747590e+00
1.320770389023968e-02	2.306870e+01	4.747573e+00
1.325295275072703e-02	2.306224e+01	4.747553e+00
1.331455345799669e-02	2.305342e+01	4.747525e+00
1.340757813295699e-02	2.304010e+01	4.747483e+00
1.357848388237513e-02	2.301566e+01	4.747406e+00
1.392029538121142e-02	2.296688e+01	4.747252e+00
