time	V(n002)	V(n003)
3.112661816322686e-02	1.090343e+01	4.688722e+00
3.132193066322687e-02	1.068443e+01	4.686833e+00
3.151724316322687e-02	1.047122e+01	4.684927e+00
3.171255566322687e-02	1.026364e+01	4.683002e+00
3.190786816322688e-02	1.006154e+01	4.681055e+00
3.210318066322688e-02	9.864777e+00	4.679088e+00
3.229849316322688e-02	9.673201e+00	4.677096e+00
3.249380566322688e-02	9.486679e+00	4.675080e+00
3.268911816322689e-02	9.305078e+00	4.673038e+00
3.288443066322689e-02	9.128263e+00	4.670967e+00
3.307974316322689e-02	8.956110e+00	4.668867e+00
3.327505566322689e-02	8.788493e+00	4.666733e+00
3.347036816322690e-02	8.625292e+00	4.664566e+00
3.366568066322690e-02	8.466390e+00	4.662361e+00
3.386099316322690e-02	8.311054e+00	4.660123e+00
3.393752139487076e-02	8.251260e+00	4.659235e+00
3.398535460350699e-02	8.214532e+00	4.658679e+00
3.400236186093863e-02	8.202332e+00	4.658494e+00
3.400902801907990e-02	8.198849e+00	4.658440e+00
3.401256643188177e-02	8.198621e+00	4.658436e+00
3.401609341200173e-02	8.201171e+00	4.658475e+00
3.402084917061550e-02	8.209826e+00	4.658608e+00
3.402583883097514e-02	8.225765e+00	4.658851e+00
3.403100422163416e-02	8.250721e+00	4.659228e+00
3.403826789001762e-02	8.299190e+00	4.659951e+00
3.404986265506339e-02	8.398539e+00	4.661397e+00
3.406544093061980e-02	8.558116e+00	4.663639e+00
3.408258433371214e-02	8.754582e+00	4.666276e+00
3.410083458523918e-02	8.976884e+00	4.669091e+00
3.412707910589320e-02	9.305388e+00	4.672997e+00
3.415122051793040e-02	9.610280e+00	4.676345e+00
3.425772662357346e-02	1.095041e+01	4.688818e+00
3.437417318671081e-02	1.238938e+01	4.699402e+00
3.456948568671082e-02	1.474773e+01	4.713685e+00
3.476479818671082e-02	1.702881e+01	4.724987e+00
3.496011068671082e-02	1.921326e+01	4.734042e+00
3.515542318671083e-02	2.128925e+01	4.741593e+00
3.535073568671083e-02	2.324554e+01	4.748015e+00
3.554604818671083e-02	2.507156e+01	4.753522e+00
3.574136068671083e-02	2.675746e+01	4.758261e+00
3.593667318671084e-02	2.829412e+01	4.762338e+00
3.613198568671084e-02	2.967328e+01	4.765824e+00
3.632729818671084e-02	3.088752e+01	4.768774e+00
3.652261068671084e-02	3.193036e+01	4.771226e+00
3.671792318671085e-02	3.279624e+01	4.773210e+00
3.691323568671085e-02	3.348062e+01	4.774746e+00
